"branch_name","sources","head","latest_date","age_days","contained_in_main","ahead_of_main","behind_main","canonical","duplicate_group_size","duplicate_with"
"codex/sdu-cn-canonical-agents-multirepo-multiuniverse-20260604","remote_git|remote_github","bc9b6c3","2026-06-04T17:44:11-03:00","3","True","0","136","False","1",""
"codex/sdu-teams-mcp-codex-cloud-dev-live-smoke-20260603","remote_git|remote_github","b1e06bf","2026-06-03T19:13:39-03:00","4","True","0","152","False","1",""
"codex/sdu-vsi-aac-reconcile-20260608","local|remote_git|remote_github","a478d1d","2026-06-08T05:55:37-03:00","-1","True","0","10","False","1",""
"codex/second-skill-recipe-agent-propagation-closeout-20260603","remote_git|remote_github","d579d57","2026-06-03T14:09:31-03:00","4","True","0","167","False","1",""
"codex/session-worktree-parking-20260605","local","6b644a1","2026-06-05T19:44:54-03:00","2","True","0","103","False","2","codex/agent-global-gate-packet-microsoft-live-write-20260605"
"codex/shared-index-integration-issues-12-15-20260602","remote_git|remote_github","b504347","2026-06-02T08:52:26-03:00","5","True","0","292","False","1",""
"codex/skill-availability-drift-20260602","remote_git|remote_github","b28fa38","2026-06-02T16:30:20-03:00","5","True","0","265","False","1",""
"codex/skill-description-metadata-issue-10","remote_git|remote_github","1d8d2f3","2026-06-01T17:49:27-03:00","6","True","0","306","False","1",""
"codex/skill-recipe-agent-propagation-plan-20260603","remote_git|remote_github","f153532","2026-06-03T13:21:48-03:00","4","True","0","171","False","1",""
"codex/skill-reference-library-issue-12","remote_git|remote_github","5ae9111","2026-06-01T21:54:58-03:00","6","True","0","296","False","1",""
"codex/skills-storage-and-agent-assignment-20260601","remote_git|remote_github","2ee1e96","2026-06-01T15:44:08-03:00","6","True","0","317","False","1",""
"codex/teams-governance-20260602","remote_git|remote_github","a6f5adb","2026-06-02T11:35:06-03:00","5","True","0","284","False","1",""
"codex/teams-lanes-cross-repo-audit-20260602","remote_git|remote_github","bfd0b70","2026-06-02T11:42:36-03:00","5","True","0","277","False","1",""
"codex/ui-action-names-intuitive-20260605","local|remote_git|remote_github","b2f86a6","2026-06-05T15:33:11-03:00","2","True","0","114","False","1",""
"codex/user-efigueroa-governance-20260602","remote_git|remote_github","c8dfcda","2026-06-02T11:38:28-03:00","5","True","0","281","False","1",""
"codex/validator-hash-set-performance-20260603","remote_git|remote_github","ca7a4d2","2026-06-02T22:13:00-03:00","5","True","0","240","False","1",""
"codex/validator-suite-runner-phase3-20260602","remote_git|remote_github","408e3d1","2026-06-02T21:09:34-03:00","5","True","0","249","False","1",""
"codex/version-agents-sdk-live-findings-20260605","local|remote_git|remote_github","7ed596a","2026-06-05T18:34:48-03:00","2","False","7","109","False","1",""
"codex/version-sdu-sdk-order-packets-20260608","local|remote_git|remote_github","1492335","2026-06-08T06:28:07-03:00","-1","True","0","5","False","1",""
"codex/version-vscode-noop-task-20260608","local|remote_git|remote_github","c35d07c","2026-06-08T06:45:47-03:00","-1","True","0","1","False","1",""
"codex/vsi-aac-schema-issues","local|remote_git|remote_github","8c2c112","2026-06-07T16:36:54-03:00","0","True","0","54","False","1",""
"codex/vsi-agent-task-dashboard","local|remote_git|remote_github","33fcad5","2026-06-07T11:01:33-03:00","0","True","0","72","False","1",""
"codex/vsi-canvas-schema-health-action","local|remote_git|remote_github","c209863","2026-06-07T16:55:54-03:00","0","True","0","52","False","1",""
"codex/vsi-dashboard-governance-stack","local|remote_git|remote_github","9da3d33","2026-06-07T13:13:03-03:00","0","True","0","64","False","1",""
"codex/vsi-dashboard-max-stack","local|remote_git|remote_github","0c452b0","2026-06-07T13:02:31-03:00","0","True","0","66","False","1",""
"codex/vsi-dashboard-observability-stack","local|remote_git|remote_github","ee88a13","2026-06-07T15:22:03-03:00","0","True","0","58","False","1",""
"codex/vsi-dashboard-resilience-stack","local|remote_git|remote_github","c05a4a1","2026-06-07T13:36:08-03:00","0","True","0","60","False","1",""
"codex/vsi-dashboard-runtime-stack","local|remote_git|remote_github","52e9e11","2026-06-07T13:27:49-03:00","0","True","0","62","False","1",""
"codex/vsi-function-utilization-no-ps-20260607","local|remote_git|remote_github","294a1b6","2026-06-07T20:19:41-03:00","0","True","0","30","False","1",""
"codex/vsi-jira-suspended-next-gates","local|remote_git|remote_github","31af04c","2026-06-07T17:06:46-03:00","0","True","0","50","False","1",""
"codex/vsi-local-actions-next","local|remote_git|remote_github","8b4a664","2026-06-07T12:28:47-03:00","0","True","0","68","False","1",""
"codex/vsi-local-agents-sdk-chain","local|remote_git|remote_github","4109f6a","2026-06-07T18:51:32-03:00","0","True","0","38","False","1",""
"codex/vsi-memory-log-no-ps-20260607","local|remote_git|remote_github","7de04ac","2026-06-07T19:27:31-03:00","0","True","0","34","False","1",""
"codex/vsi-memory-workpaper-bridge-20260607","local|remote_git|remote_github","4dc5c45","2026-06-07T20:40:24-03:00","0","True","0","26","False","1",""
"codex/vsi-openai-live-smoke-executed","local|remote_git|remote_github","c51f332","2026-06-07T17:20:55-03:00","0","True","0","48","False","1",""
"codex/vsi-power-platform-local-dry-run","local|remote_git|remote_github","3d9e69f","2026-06-07T17:31:21-03:00","0","True","0","46","False","1",""
"codex/vsi-startup-command-canon","local|remote_git|remote_github","a8b9b7b","2026-06-07T18:11:36-03:00","0","True","0","41","False","1",""
"codex/vsi-usage-expansion-no-ps-20260607","local|remote_git|remote_github","3e4c4cb","2026-06-07T19:37:58-03:00","0","True","0","32","False","1",""
"codex/vsi-visible-gate-lane","local|remote_git|remote_github","7718738","2026-06-07T15:32:45-03:00","0","True","0","56","False","1",""
"codex/webreactiva-runtime-evidence-20260601","remote_git|remote_github","2d231b1","2026-06-01T17:08:43-03:00","6","True","0","310","False","1",""
"copilot/research-performance-issues","remote_git|remote_github","255692f","2026-06-02T21:14:18-03:00","5","True","0","248","False","1",""
"main","local|remote_git|remote_github","3ce2129","2026-06-08T06:49:38-03:00","-1","True","0","0","False","1",""
