"branch_name","tipo","scope","descripcion","referencia","estado","observaciones"
"codex/local-tooling-continuity-handoff","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=082b1e8;date=2026-06-07;ahead=0;behind=84;protected=false"
"codex/max-level-canon-pr130-20260608","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=50a760e;date=2026-06-07;ahead=0;behind=17;protected=false"
"codex/methodology-skills-wave-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=da5b869;date=2026-06-01;ahead=0;behind=314;protected=false"
"codex/microsoft-agents-governed-lab-alignment-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=ffd2e01;date=2026-06-02;ahead=0;behind=287;protected=false"
"codex/non-powershell-validator-prep","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=b3e0685;date=2026-06-07;ahead=0;behind=36;protected=false"
"codex/openai-upstream-two-wave-adoption-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=913651b;date=2026-06-02;ahead=0;behind=273;protected=false"
"codex/post-pr-101-next-lane-selection-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=c7e1854;date=2026-06-05;ahead=1;behind=108;protected=false"
"codex/postmerge-dev-operational-expansion-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=5450999;date=2026-06-03;ahead=0;behind=195;protected=false"
"codex/power-platform-teams-governance-alm-20260603","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=e1bf768;date=2026-06-04;ahead=1;behind=161;protected=false"
"codex/powershell-d-skill-guards-20260604","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=8f55fda;date=2026-06-04;ahead=0;behind=148;protected=false"
"codex/pr65-postmerge-evidence-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=ed4cb20;date=2026-06-03;ahead=0;behind=192;protected=false"
"codex/pr66-local-reconciliation-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=08f3dee;date=2026-06-03;ahead=0;behind=165;protected=false"
"codex/pr74-postmerge-readback-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=8f3c0fa;date=2026-06-03;ahead=0;behind=159;protected=false"
"codex/process-manuals-framework-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;DUPLICA_SHA_CON=codex/agent-naming-rationalization-20260605|codex/agents-global-improvement-20260605|codex/codex-cloud-capability-audit-20260605|codex/full-repo-validation-followups-20260605;sources=local;head=b0e30cb;date=2026-06-05;ahead=0;behind=115"
"codex/process-rescue-framework-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=4beb992;date=2026-06-05;ahead=1;behind=111;protected=false"
"codex/promote-governance-suite-gate-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=9aa3ae6;date=2026-06-02;ahead=0;behind=246;protected=false"
"codex/reconcile-c-root-effective-cabina-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=4fdd96d;date=2026-06-05;ahead=0;behind=118;protected=false"
"codex/reconcile-change-aware-gate-state-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=c7332ee;date=2026-06-02;ahead=0;behind=236;protected=false"
"codex/register-governed-ci-closures-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=37fc7c9;date=2026-06-02;ahead=0;behind=267;protected=false"
"codex/repo-operating-contract-cabina-20260604","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=b01107e;date=2026-06-04;ahead=0;behind=133;protected=false"
"codex/retrospective-skills-recipes-agent-learning-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=4ab3628;date=2026-06-03;ahead=0;behind=173;protected=false"
"codex/rey-guia-active-execution-queue-20260604","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=4aa594f;date=2026-06-04;ahead=0;behind=124;protected=false"
"codex/root-artifact-cleanup-20260604","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=8bdc7cd;date=2026-06-04;ahead=0;behind=138;protected=false"
"codex/runtime-parallel-issue-queue-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=2c43c28;date=2026-06-01;ahead=0;behind=302;protected=false"
"codex/sdk-cloud-full-lifecycle-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=3647fa2;date=2026-06-03;ahead=0;behind=218;protected=false"
"codex/sdu-agent-runtime-connections-postmerge-readback-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=67448cb;date=2026-06-03;ahead=0;behind=157;protected=false"
